Date,close
2015010809:55:00,245.42
2015010810:00:00,245.34
2015010810:05:00,245.3
2015010810:10:00,245.36
2015010810:15:00,245.5
2015010810:35:00,245.2
2015010810:40:00,245.06
2015010810:45:00,245.2
2015010810:50:00,245.2
2015010810:55:00,244.96
2015010811:00:00,245
2015010811:05:00,244.94
2015010811:10:00,245.06
2015010811:15:00,244.96
2015010811:20:00,245.06
2015010811:25:00,245.02
2015010811:30:00,244.52
2015010813:35:00,244.82
2015010813:40:00,244.92
2015010813:45:00,244.9
2015010813:50:00,245
2015010813:55:00,244.9
2015010814:00:00,244.9
2015010814:05:00,244.8
2015010814:10:00,244.76
2015010814:15:00,244.76
2015010814:20:00,244.7
2015010814:25:00,244.76
2015010814:30:00,244.76
2015010814:35:00,244.76
2015010814:40:00,244.76
2015010814:45:00,244.6
2015010814:50:00,244.52
2015010814:55:00,244.4
2015010821:10:00,244.6
2015010821:15:00,244.76
2015010821:20:00,244.76
2015010821:25:00,244.9
2015010821:30:00,244.84
2015010821:35:00,245.12
2015010821:40:00,245.16
2015010821:45:00,245.12
2015010821:50:00,245.06
2015010821:55:00,245.22
2015010822:00:00,245.56
2015010822:05:00,245.34
2015010822:10:00,245.46
2015010822:15:00,245.4
2015010822:20:00,245.46
2015010822:25:00,245.46
2015010822:30:00,245.5
2015010822:35:00,245.2
2015010822:40:00,245.36
2015010822:45:00,245.42
2015010822:50:00,245.36
2015010822:55:00,245.9
2015010823:00:00,246
2015010823:05:00,245.86
2015010823:10:00,245.8
2015010823:15:00,245.84
2015010823:20:00,245.94
2015010823:25:00,245.76
2015010823:30:00,245.7
2015010823:35:00,245.76
2015010823:40:00,246.02
2015010823:45:00,245.7
2015010823:50:00,245.76
2015010823:55:00,245.56
2015010900:00:00,245.44
2015010900:05:00,245.56
2015010900:10:00,245.52
2015010900:15:00,245.56
2015010900:20:00,245.62
2015010900:25:00,245.56
2015010900:30:00,245.84
2015010900:35:00,245.76
2015010900:40:00,245.9
2015010900:45:00,245.66
2015010900:50:00,245.56
2015010900:55:00,245.5
2015010901:00:00,245.62
2015010901:05:00,245.6
2015010901:10:00,245.64
2015010901:15:00,245.56
2015010901:20:00,245.6
2015010901:25:00,245.6
2015010901:30:00,245.6
2015010901:35:00,245.5
2015010901:40:00,245.52
2015010901:45:00,245.46
2015010901:50:00,245.52
2015010901:55:00,245.6
2015010902:00:00,245.6
2015010902:05:00,245.52
2015010902:10:00,245
2015010902:15:00,244.94
2015010902:20:00,244.9
2015010902:25:00,244.76
2015010902:30:00,244.7
2015010909:05:00,245.06
2015010909:15:00,245.2
2015010909:20:00,245.06
2015010909:25:00,244.82
2015010909:30:00,244.9
2015010909:35:00,244.96
2015010909:40:00,245
2015010909:45:00,245.06
2015010909:50:00,244.96
2015010909:55:00,244.96
2015010910:00:00,245.16
2015010910:05:00,245.1
2015010910:10:00,245.04
2015010910:15:00,244.96
2015010910:35:00,244.96
2015010910:40:00,244.86
